Name,Level,Age,PA,GB/FB,LD%,HR/FB,SwStr%,BB%,K%,PlayerId
"Cam Gallagher","AA",23,346,1.235955056,0.197580645,0.04494382,0.0795539,0.106936416,0.150289017,"12981"
"Teoscar Hernandez","AA",23,322,0.757281553,0.188340807,0.058252427,0.104,0.099378881,0.170807453,"13066"
"Jose Briceno","AA",23,240,0.929577464,0.230337078,0.042253521,0.11691542,0.045833333,0.175,"13151"
"Nicky Delmonico","AA",23,159,1.194444444,0.261682242,0.277777777,0.11714771,0.081761006,0.207547169,"13157"
"Jacob Wilson","AA",25,101,0.35,0.114754098,0.15,0.09569378,0.118811881,0.247524752,"13254"
"Zach Vincej","AA",25,438,1.182692307,0.274760383,0.028846153,0.08975136,0.057077625,0.194063926,"13269"
"Spencer Kieboom","AA",25,359,1.125,0.174089068,0.052083333,0.07859281,0.119777158,0.169916434,"13300"
"Ildemaro Vargas","AA",24,351,2.051282051,0.193220338,0.051282051,0.03351104,0.068376068,0.068376068,"13324"
"Bubba Starling","AA",23,255,0.916666666,0.233333333,0.083333333,0.13989637,0.058823529,0.317647058,"13356"
"Wynton Bernard","AA",25,263,1.348484848,0.175531914,0.09090909,0.07038123,0.102661596,0.148288973,"13408"
"Andrew Toles","AA",24,190,1.319148936,0.243055555,0.106382978,0.09538462,0.063157894,0.157894736,"13414"
"Tony Renda","AA",25,282,1.292682926,0.213389121,0.024390243,0.04042553,0.04964539,0.070921985,"13443"
"Christian Lopes","AA",23,450,0.977443609,0.205438066,0.02255639,0.07492447,0.073333333,0.157777777,"13472"
"Dwight Smith Jr.","AA",23,527,1.386363636,0.166666666,0.113636363,0.0891036,0.085388994,0.172675521,"13473"
"Oscar Hernandez","AA",22,150,0.716981132,0.201754385,0.132075471,0.11042945,0.033333333,0.18,"13490"
"Roman Quinn","AA",23,322,1.333333333,0.203791469,0.083333333,0.1025641,0.093167701,0.211180124,"13546"
"Humberto Arteaga","AA",22,218,1.557692307,0.184049079,0,0.10568032,0.027522935,0.201834862,"13595"
"Carson Kelly","AA",21,236,1.975,0.287425149,0.15,0.09005848,0.059322033,0.194915254,"13620"
"Jeimer Candelario","AA",22,244,0.884615384,0.109090909,0.051282051,0.07677725,0.13114754,0.18852459,"13621"
"Terrance Gore","AA",25,302,2.59090909,0.164021164,0,0.07034728,0.086092715,0.19205298,"13658"
"Jack Lopez","AA",23,290,1.36231884,0.180904522,0.086956521,0.10842207,0.048275862,0.206896551,"13663"
"Tyrone Taylor","AA",22,519,1.113333333,0.178756476,0.06,0.05894962,0.073217726,0.140655105,"13675"
"Christopher Bostick","AA",23,297,0.888888888,0.170731707,0.066666666,0.10103872,0.084175084,0.195286195,"13718"
"David Dahl","AA",22,332,1.150684931,0.211055276,0.178082191,0.13995485,0.117469879,0.256024096,"13744"
"Adalberto Mondesi","AA",20,131,1.03030303,0.202380952,0.151515151,0.16533865,0.099236641,0.229007633,"13769"
"Eric Stamets","AA",24,280,0.686746987,0.204545454,0.072289156,0.10869565,0.075,0.239285714,"13795"
"Ian Parmley","AA",26,322,1.7,0.209756097,0.033333333,0.12244898,0.086956521,0.232919254,"13821"
"Alex D. Mejia","AA",25,187,1.391304347,0.219858156,0.02173913,0.07075472,0.069518716,0.139037433,"13877"
"Eric Haase","AA",23,246,0.83076923,0.206666666,0.184615384,0.15984016,0.069105691,0.304878048,"14111"
"Ramon Torres","AA",23,185,1.634146341,0.255172413,0.024390243,0.05507246,0.097297297,0.097297297,"14113"
"Tim Lopes","AA",22,581,2.455445544,0.161057692,0.00990099,0.06895037,0.092943201,0.151462994,"14137"
"Jose Rondon","AA",22,409,1.432692307,0.175895765,0.048076923,0.10093057,0.036674816,0.161369193,"14140"
"Alfredo Gonzalez","AA",23,314,2.309090909,0.161290322,0,0.10454156,0.076433121,0.197452229,"14267"
"Mitch Haniger","AA",25,236,1.214285714,0.225,0.089285714,0.07324841,0.127118644,0.156779661,"14274"
"Wilmer Difo","AA",24,451,1.644859813,0.174927113,0.056074766,0.08915502,0.075388026,0.130820399,"14320"
"Raimel Tapia","AA",22,457,1.961538461,0.16981132,0.076923076,0.07052897,0.054704595,0.107221006,"14350"
"Lewis Brinson","AA",22,326,1.213483146,0.175732217,0.123595505,0.13004115,0.052147239,0.196319018,"14352"
"Joey Meneses","AA",24,240,2.02173913,0.223463687,0.04347826,0.09315376,0.0625,0.166666666,"14366"
"Harold Ramirez","AA",21,419,2,0.216560509,0.024390243,0.08759591,0.052505966,0.157517899,"14387"
"Ronald Guzman","AA",21,416,1.178217821,0.249146757,0.148514851,0.12589693,0.079326923,0.197115384,"14388"
"Joe Hudson","AA",25,242,1.404255319,0.220689655,0.042553191,0.07569721,0.128099173,0.243801652,"14412"
"Henry Urrutia","AA",29,316,2.4,0.196850393,0.083333333,0.09099437,0.060126582,0.129746835,"14441"
"Jake Cave","AA",23,116,1.454545454,0.28,0.136363636,0.07459677,0.086206896,0.24137931,"14477"
"Luis Marte","AA",22,278,1.275362318,0.222772277,0.072463768,0.15712799,0.017985611,0.208633093,"14515"
"Gabriel Guerrero","AA",22,342,1.043010752,0.211618257,0.086021505,0.16480892,0.058479532,0.222222222,"14528"
"Jesmuel Valentin","AA",22,388,0.98275862,0.190140845,0.043103448,0.06847361,0.097938144,0.144329896,"14548"
"Franchy Cordero","AA",21,264,2.684210526,0.2,0.157894736,0.16821465,0.064393939,0.253787878,"14567"
"Tzu-Wei Lin","AA",22,411,1.966292134,0.159235668,0.02247191,0.0476788,0.08272506,0.133819951,"14678"
